Survived,Age,Gender,Class
D,C,M,3
D,C,M,3
D,C,M,3
D,C,M,3
D,C,M,3
D,C,M,3
D,C,M,3
D,C,M,3
D,C,M,3
D,C,M,3
D,C,M,3
D,C,M,3
D,C,M,3
D,C,M,3
D,C,M,3
D,C,M,3
D,C,M,3
D,C,M,3
D,C,M,3
D,C,M,3
D,C,M,3
D,C,M,3
D,C,M,3
D,C,M,3
D,C,M,3
D,C,M,3
D,C,M,3
D,C,M,3
D,C,M,3
D,C,M,3
D,C,M,3
D,C,M,3
D,C,M,3
D,C,M,3
D,C,M,3
D,C,F,3
D,C,F,3
D,C,F,3
D,C,F,3
D,C,F,3
D,C,F,3
D,C,F,3
D,C,F,3
D,C,F,3
D,C,F,3
D,C,F,3
D,C,F,3
D,C,F,3
D,C,F,3
D,C,F,3
D,C,F,3
D,C,F,3
D,A,M,1
D,A,M,1
D,A,M,1
D,A,M,1
D,A,M,1
D,A,M,1
D,A,M,1
D,A,M,1
D,A,M,1
D,A,M,1
D,A,M,1
D,A,M,1
D,A,M,1
D,A,M,1
D,A,M,1
D,A,M,1
D,A,M,1
D,A,M,1
D,A,M,1
D,A,M,1
D,A,M,1
D,A,M,1
D,A,M,1
D,A,M,1
D,A,M,1
D,A,M,1
D,A,M,1
D,A,M,1
D,A,M,1
D,A,M,1
D,A,M,1
D,A,M,1
D,A,M,1
D,A,M,1
D,A,M,1
D,A,M,1
D,A,M,1
D,A,M,1
D,A,M,1
D,A,M,1
D,A,M,1
D,A,M,1
D,A,M,1
D,A,M,1
D,A,M,1
D,A,M,1
D,A,M,1
D,A,M,1
D,A,M,1
D,A,M,1
D,A,M,1
D,A,M,1
D,A,M,1
D,A,M,1
D,A,M,1
D,A,M,1
D,A,M,1
D,A,M,1
D,A,M,1
D,A,M,1
D,A,M,1
D,A,M,1
D,A,M,1
D,A,M,1
D,A,M,1
D,A,M,1
D,A,M,1
D,A,M,1
D,A,M,1
D,A,M,1
D,A,M,1
D,A,M,1
D,A,M,1
D,A,M,1
D,A,M,1
D,A,M,1
D,A,M,1
D,A,M,1
D,A,M,1
D,A,M,1
D,A,M,1
D,A,M,1
D,A,M,1
D,A,M,1
D,A,M,1
D,A,M,1
D,A,M,1
